Domain Code,Domain,Area Code (M49),Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,sq_kmGJ,sq_kmTJ,Region
BE,Bioenergy,004,Afghanistan,5852,Energy production,6525,Fuelwood,2022,2022,TJ,18558,X,Figure from external organization,652230000,652230,Asia
BE,Bioenergy,008,Albania,5852,Energy production,6525,Fuelwood,2022,2022,TJ,6155,X,Figure from external organization,28748000,28748,Europe
BE,Bioenergy,012,Algeria,5852,Energy production,6525,Fuelwood,2022,2022,TJ,741,X,Figure from external organization,2381740000,2381740,Africa
BE,Bioenergy,024,Angola,5852,Energy production,6525,Fuelwood,2022,2022,TJ,177651,X,Figure from external organization,1246700000,1246700,Africa
BE,Bioenergy,660,Anguilla,5852,Energy production,6525,Fuelwood,2022,2022,TJ,1,X,Figure from external organization,443000,443,Unknown
BE,Bioenergy,032,Argentina,5852,Energy production,6525,Fuelwood,2022,2022,TJ,51134,X,Figure from external organization,2780400000,2780400,South America
BE,Bioenergy,051,Armenia,5852,Energy production,6525,Fuelwood,2022,2022,TJ,5036,X,Figure from external organization,29743000,29743,Asia
BE,Bioenergy,533,Aruba,5852,Energy production,6525,Fuelwood,2022,2022,TJ,24,X,Figure from external organization,0,0,Unknown
BE,Bioenergy,654,"Ascension, Saint Helena and Tristan da Cunha",5852,Energy production,6525,Fuelwood,2022,2022,TJ,5,X,Figure from external organization,0,0,Unknown
BE,Bioenergy,036,Australia,5852,Energy production,6525,Fuelwood,2022,2022,TJ,69320,X,Figure from external organization,7741220000,7741220,Oceania
BE,Bioenergy,040,Austria,5852,Energy production,6525,Fuelwood,2022,2022,TJ,165614,X,Figure from external organization,83871000,83871,Europe
BE,Bioenergy,031,Azerbaijan,5852,Energy production,6525,Fuelwood,2022,2022,TJ,643,X,Figure from external organization,86600000,86600,Asia
BE,Bioenergy,044,Bahamas,5852,Energy production,6525,Fuelwood,2022,2022,TJ,310,X,Figure from external organization,13880000,13880,North America
BE,Bioenergy,048,Bahrain,5852,Energy production,6525,Fuelwood,2022,2022,TJ,69,X,Figure from external organization,760000,760,Asia
BE,Bioenergy,050,Bangladesh,5852,Energy production,6525,Fuelwood,2022,2022,TJ,281718,X,Figure from external organization,148460000,148460,Asia
BE,Bioenergy,052,Barbados,5852,Energy production,6525,Fuelwood,2022,2022,TJ,42,X,Figure from external organization,430000,430,North America
BE,Bioenergy,112,Belarus,5852,Energy production,6525,Fuelwood,2022,2022,TJ,65959,X,Figure from external organization,207600000,207600,Europe
BE,Bioenergy,056,Belgium,5852,Energy production,6525,Fuelwood,2022,2022,TJ,45108,X,Figure from external organization,30528000,30528,Europe
BE,Bioenergy,084,Belize,5852,Energy production,6525,Fuelwood,2022,2022,TJ,671,X,Figure from external organization,22966000,22966,North America
BE,Bioenergy,204,Benin,5852,Energy production,6525,Fuelwood,2022,2022,TJ,122682,X,Figure from external organization,112622000,112622,Africa
BE,Bioenergy,064,Bhutan,5852,Energy production,6525,Fuelwood,2022,2022,TJ,49329,X,Figure from external organization,38394000,38394,Asia
BE,Bioenergy,068,Bolivia (Plurinational State of),5852,Energy production,6525,Fuelwood,2022,2022,TJ,6742,X,Figure from external organization,1098581000,1098581,Unknown
BE,Bioenergy,070,Bosnia and Herzegovina,5852,Energy production,6525,Fuelwood,2022,2022,TJ,63433,X,Figure from external organization,51197000,51197,Europe
BE,Bioenergy,072,Botswana,5852,Energy production,6525,Fuelwood,2022,2022,TJ,6392,X,Figure from external organization,581730000,581730,Africa
BE,Bioenergy,076,Brazil,5852,Energy production,6525,Fuelwood,2022,2022,TJ,1108195,X,Figure from external organization,8515770000,8515770,South America
BE,Bioenergy,092,British Virgin Islands,5852,Energy production,6525,Fuelwood,2022,2022,TJ,16,X,Figure from external organization,0,0,Unknown
BE,Bioenergy,096,Brunei Darussalam,5852,Energy production,6525,Fuelwood,2022,2022,TJ,106,X,Figure from external organization,5765000,5765,Unknown
BE,Bioenergy,100,Bulgaria,5852,Energy production,6525,Fuelwood,2022,2022,TJ,42260,X,Figure from external organization,110879000,110879,Europe
BE,Bioenergy,854,Burkina Faso,5852,Energy production,6525,Fuelwood,2022,2022,TJ,182855,X,Figure from external organization,274200000,274200,Africa
BE,Bioenergy,108,Burundi,5852,Energy production,6525,Fuelwood,2022,2022,TJ,54800,X,Figure from external organization,27830000,27830,Africa
BE,Bioenergy,132,Cabo Verde,5852,Energy production,6525,Fuelwood,2022,2022,TJ,1351,X,Figure from external organization,4033000,4033,Africa
BE,Bioenergy,116,Cambodia,5852,Energy production,6525,Fuelwood,2022,2022,TJ,62867,X,Figure from external organization,181035000,181035,Asia
BE,Bioenergy,120,Cameroon,5852,Energy production,6525,Fuelwood,2022,2022,TJ,309242,X,Figure from external organization,475440000,475440,Africa
BE,Bioenergy,124,Canada,5852,Energy production,6525,Fuelwood,2022,2022,TJ,298028,X,Figure from external organization,9984670000,9984670,North America
BE,Bioenergy,140,Central African Republic,5852,Energy production,6525,Fuelwood,2022,2022,TJ,43380,X,Figure from external organization,622984000,622984,Africa
BE,Bioenergy,148,Chad,5852,Energy production,6525,Fuelwood,2022,2022,TJ,77053,X,Figure from external organization,1284000000,1284000,Africa
BE,Bioenergy,152,Chile,5852,Energy production,6525,Fuelwood,2022,2022,TJ,231882,X,Figure from external organization,756102000,756102,South America
BE,Bioenergy,159,China,5852,Energy production,6525,Fuelwood,2022,2022,TJ,1388157,X,Figure from external organization,9596960000,9596960,Asia
BE,Bioenergy,156,"China, mainland",5852,Energy production,6525,Fuelwood,2022,2022,TJ,1380987,X,Figure from external organization,0,0,Unknown
BE,Bioenergy,158,"China, Taiwan Province of",5852,Energy production,6525,Fuelwood,2022,2022,TJ,7170,X,Figure from external organization,0,0,Unknown
BE,Bioenergy,170,Colombia,5852,Energy production,6525,Fuelwood,2022,2022,TJ,104457,X,Figure from external organization,1138910000,1138910,South America
BE,Bioenergy,174,Comoros,5852,Energy production,6525,Fuelwood,2022,2022,TJ,4046,X,Figure from external organization,2235000,2235,Africa
BE,Bioenergy,178,Congo,5852,Energy production,6525,Fuelwood,2022,2022,TJ,48244,X,Figure from external organization,0,0,Africa
BE,Bioenergy,188,Costa Rica,5852,Energy production,6525,Fuelwood,2022,2022,TJ,5363,X,Figure from external organization,51100000,51100,North America
BE,Bioenergy,191,Croatia,5852,Energy production,6525,Fuelwood,2022,2022,TJ,66525,X,Figure from external organization,56594000,56594,Europe
BE,Bioenergy,192,Cuba,5852,Energy production,6525,Fuelwood,2022,2022,TJ,6020,X,Figure from external organization,110860000,110860,North America
BE,Bioenergy,196,Cyprus,5852,Energy production,6525,Fuelwood,2022,2022,TJ,966,X,Figure from external organization,9251000,9251,Asia
BE,Bioenergy,203,Czechia,5852,Energy production,6525,Fuelwood,2022,2022,TJ,131798,X,Figure from external organization,43094000,43094,Unknown
BE,Bioenergy,408,Democratic People's Republic of Korea,5852,Energy production,6525,Fuelwood,2022,2022,TJ,47358,X,Figure from external organization,23200000,23200,Unknown
